name	rva	size	record
D3D12UIComposite::CreateSRV	0xd630	271	0x1110
D3D12UIComposite::EnsureResources	0xd740	1916	0x1110
D3D12UIComposite::Render	0xdec0	696	0x1110
DX12SwapChain::CommandContext::CommandContext	0x10f20	48	0x1110
nvngx::dlss_nr::D3D12Backend::D3D12Backend	0x10f50	546	0x1110
DX12SwapChain::DX12SwapChain	0x11180	642	0x1110
Streamline::Streamline	0x11410	788	0x1110
DX12SwapChain::CommandContext::~CommandContext	0x11900	251	0x1110
DX12SwapChain::~DX12SwapChain	0x11a00	541	0x1110
DX12SwapChain::GetSingleton	0x11f70	124	0x1110
Streamline::GetSingleton	0x11ff0	124	0x1110
D3D11D3D12SharedTexture::D3D11D3D12SharedTexture	0x13890	428	0x1110
`DX12SwapChain::PrepareNativeUIForEngineComposition'::`2'::RestoreTargets::RestoreTargets	0x13a40	490	0x110f
Upscaling::Upscaling	0x13c30	2286	0x1110
Upscaling::DeferredResourceRelease::~DeferredResourceRelease	0x146c0	38	0x1110
`DX12SwapChain::ResizeENBScene'::`2'::EndTransaction::~EndTransaction	0x14720	7	0x110f
`DX12SwapChain::PrepareNativeUIForEngineComposition'::`2'::RestoreTargets::~RestoreTargets	0x147e0	100	0x110f
Upscaling::~Upscaling	0x14850	1506	0x1110
Upscaling::`scalar deleting destructor'	0x14eb0	52	0x1110
DX12SwapChain::AcquireCommandContext	0x14ef0	1255	0x1110
DXGISwapChainProxy::AddRef	0x153e0	13	0x1110
DX12SwapChain::AreRetirementFencesComplete	0x153f0	159	0x1110
DX12SwapChain::BeginNativeUI	0x15490	3468	0x1110
DX12SwapChain::CaptureScreenshot	0x16220	2001	0x1110
DXGISwapChainProxy::CheckColorSpaceSupport	0x16a00	14	0x1110
DX12SwapChain::ConfigureFrameLatency	0x16a10	1077	0x1110
DX12SwapChain::CreateD3D12Device	0x16e50	965	0x1110
DX12SwapChain::CreateInterop	0x17220	626	0x1110
DX12SwapChain::CreateSwapChain	0x174a0	5727	0x1110
DX12SwapChain::EndNativeUI	0x18bc0	236	0x1110
DX12SwapChain::EnsureFidelityFXFrameGenerationSwapChain	0x18cb0	580	0x1110
DX12SwapChain::EvaluateD3D12WorkForCurrentFrame	0x18f00	1297	0x1110
DX12SwapChain::ExecuteCommandContext	0x19420	198	0x1110
DX12SwapChain::FenceFrameSlotAfterPresent	0x194f0	502	0x1110
DXGISwapChainProxy::GetBackgroundColor	0x19930	14	0x1110
DXGISwapChainProxy::GetBuffer	0x19940	118	0x1110
DXGISwapChainProxy::GetContainingOutput	0x199c0	11	0x1110
DXGISwapChainProxy::GetCoreWindow	0x199d0	14	0x1110
DXGISwapChainProxy::GetCurrentBackBufferIndex	0x199e0	14	0x1110
DXGISwapChainProxy::GetDesc1	0x199f0	70	0x1110
DXGISwapChainProxy::GetDesc	0x19a40	333	0x1110
DXGISwapChainProxy::GetDevice	0x19b90	248	0x1110
DXGISwapChainProxy::GetFrameLatencyWaitableObject	0x19c90	14	0x1110
DXGISwapChainProxy::GetFrameStatistics	0x19ca0	14	0x1110
DXGISwapChainProxy::GetFullscreenDesc	0x19cb0	14	0x1110
DXGISwapChainProxy::GetFullscreenState	0x19cc0	11	0x1110
DXGISwapChainProxy::GetHwnd	0x19cd0	14	0x1110
DXGISwapChainProxy::GetLastPresentCount	0x19ce0	14	0x1110
DXGISwapChainProxy::GetMatrixTransform	0x19cf0	14	0x1110
DXGISwapChainProxy::GetMaximumFrameLatency	0x19d00	14	0x1110
DXGISwapChainProxy::GetParent	0x19d10	11	0x1110
DXGISwapChainProxy::GetPrivateData	0x19d20	11	0x1110
DXGISwapChainProxy::GetRestrictToOutput	0x19e90	14	0x1110
DX12SwapChain::GetRetirementFences	0x19ea0	142	0x1110
DXGISwapChainProxy::GetRotation	0x19f30	14	0x1110
D3D12UIComposite::GetSingleton	0x19f40	139	0x1110
FidelityFX::GetSingleton	0x19fd0	98	0x1110
OSD::GetSingleton	0x1a040	417	0x1110
Upscaling::GetSingleton	0x1a1f0	124	0x1110
DXGISwapChainProxy::GetSourceSize	0x1a270	59	0x1110
DXGISwapChainProxy::IsTemporaryMonoSupported	0x1a9f0	14	0x1110
DX12SwapChain::PaceFrameStart	0x1ad50	294	0x1110
DX12SwapChain::PrepareNativeUIForEngineComposition	0x1ae80	416	0x1110
DXGISwapChainProxy::Present	0x1b020	43	0x1110
DXGISwapChainProxy::Present1	0x1b020	43	0x1110
DX12SwapChain::Present	0x1b050	5311	0x1110
DX12SwapChain::PublishNativeUIForOverlays	0x1c510	179	0x1110
DXGISwapChainProxy::QueryInterface	0x1c5d0	246	0x1110
DX12SwapChain::RecreateInteropTextures	0x1c6d0	901	0x1110
DX12SwapChain::RefreshBackBuffers	0x1ca60	320	0x1110
DXGISwapChainProxy::Release	0x1cba0	74	0x1110
DX12SwapChain::ReleaseResizeDependentResources	0x1cbf0	939	0x1110
DXGISwapChainProxy::ResizeBuffers1	0x1d0f0	47	0x1110
DXGISwapChainProxy::ResizeBuffers	0x1d120	73	0x1110
DX12SwapChain::ResizeBuffersInternal	0x1d170	1321	0x1110
DX12SwapChain::ResizeENBScene	0x1d6a0	4855	0x1110
DXGISwapChainProxy::ResizeTarget	0x1e9a0	193	0x1110
DX12SwapChain::ResolveNativeUIForMenu	0x1ea70	1013	0x1110
DX12SwapChain::RestoreResizeDependentResources	0x1ee70	95	0x1110
DXGISwapChainProxy::SetBackgroundColor	0x1eed0	14	0x1110
DXGISwapChainProxy::SetColorSpace1	0x1eee0	14	0x1110
DX12SwapChain::SetD3D11Device	0x1eef0	108	0x1110
DX12SwapChain::SetD3D11DeviceContext	0x1ef60	108	0x1110
DXGISwapChainProxy::SetFullscreenState	0x1efd0	140	0x1110
DXGISwapChainProxy::SetHDRMetaData	0x1f060	14	0x1110
DXGISwapChainProxy::SetMatrixTransform	0x1f070	14	0x1110
DXGISwapChainProxy::SetMaximumFrameLatency	0x1f080	14	0x1110
DX12SwapChain::SetPresentOverride	0x1f090	70	0x1110
DXGISwapChainProxy::SetPrivateData	0x1f0e0	11	0x1110
DXGISwapChainProxy::SetPrivateDataInterface	0x1f0f0	11	0x1110
DXGISwapChainProxy::SetRotation	0x1f100	14	0x1110
DXGISwapChainProxy::SetSourceSize	0x1f110	49	0x1110
DX12SwapChain::SuspendTemporalFeatures	0x1f2a0	701	0x1110
DX12SwapChain::WaitForCommandFence	0x1f560	1294	0x1110
